horizon,return_type,n,mean,median,std,p25,p75,min,max,positive_pct,negative_pct,t_stat,p_value,ci95_low,ci95_high
1d,RAW_RETURN,1203,0.0039034782403031573,0.058768682588827836,1.2138562720411428,-0.5837333350761975,0.6096739441587395,-9.03497780862258,5.732729067187403,52.618453865336654,47.381546134663346,0.1115365764004811,0.9111908627615863,-0.06469121596586747,0.07249817244647377
1d,ABNORMAL_RETURN,1203,-0.034727959685428564,-0.022577216924213328,1.2272910332968372,-0.6402931948093604,0.5987288285494885,-8.797860532398738,6.060244439813789,49.29343308395677,50.70656691604323,-0.9814417328684705,0.326374954711679,-0.10408184866720276,0.03462592929634563
1d,CAR,1203,-0.034727959685428376,-0.02257721692420907,1.2272910332968372,-0.6402931948093653,0.5987288285494803,-8.79786053239874,6.060244439813787,49.29343308395677,50.70656691604323,-0.9814417328684651,0.32637495471168143,-0.10408184866720258,0.034625929296345816
3d,RAW_RETURN,1203,0.07303698220369297,0.2664684293163466,1.9573128437685514,-0.9040500102257265,1.1749421588373,-9.512825540994518,8.5433551357327,57.522859517871986,42.477140482128014,1.294241698856072,0.19558194750811797,-0.03757024459618907,0.183644209003575
3d,ABNORMAL_RETURN,1203,-0.043357599487716066,0.04451810320860172,2.020677359420055,-1.0452056826180334,1.0221340965243741,-9.768127107979863,9.64632349895349,51.20532003325021,48.79467996674979,-0.7442195382273775,0.4567436696455691,-0.15754553816819683,0.07083033919276469
3d,CAR,1203,-0.042316139469986254,0.045041711127664655,2.0232670775584234,-1.036892049739953,1.034282753945261,-9.975622345189835,9.42560265905599,51.20532003325021,48.79467996674979,-0.7254135086400026,0.46819838821974136,-0.1566504224318067,0.07201814349183422
5d,RAW_RETURN,1203,0.11913465503752399,0.26988403122036875,2.4363812874140023,-1.1773918002428163,1.4419028226015596,-17.431331345242896,13.172873947828379,57.85536159600998,42.14463840399002,1.6959993053730706,0.08988601161125098,-0.018544601748600065,0.25681391182364804
5d,ABNORMAL_RETURN,1203,-0.0756904041938449,-0.04123686862871345,2.5384841280030717,-1.4075246452290857,1.2288644775895752,-15.292943733078179,14.799759252905552,49.62593516209476,50.374064837905244,-1.0341872655379165,0.3010486262453007,-0.2191394652715525,0.0677586568838627
5d,CAR,1203,-0.06905772993580103,-0.027681460507675282,2.5503710958134915,-1.39467458695899,1.2300106598902714,-16.438051507192732,14.328250332182025,49.70906068162926,50.29093931837074,-0.9391646426831202,0.34764621924915984,-0.21317852039430532,0.07506306052270326
20d,RAW_RETURN,1202,0.7546115183465744,1.1333368507578045,4.365801101485467,-1.5809441324626166,3.4900334020784185,-24.956312006019978,17.51660753798323,62.7287853577371,37.2712146422629,5.9925507085767284,2.065749793445093e-09,0.5077986588671479,1.0014243778260008
20d,ABNORMAL_RETURN,1202,-0.04945661080861251,-0.15771480593288478,5.18181995751834,-3.185287629849165,3.110697219734895,-27.527327102534738,23.8670587924673,48.668885191347755,51.331114808652245,-0.33089809427449285,0.7407214615098818,-0.34240165601177164,0.2434884343945466
20d,CAR,1203,0.018595720255480144,-0.06407499679691123,5.164805738072032,-3.0545460798173725,3.1287717073965164,-28.34138783386161,23.407975680274085,49.12718204488778,50.87281795511222,0.12487969424212063,0.9006187941615416,-0.2732660745858439,0.31045751509680414
