record_id,indicator,agency,release_date,reference_period,point_in_time_safe,quality_issues,historical_consensus_available
3fbef7fcc694a20c,INITIAL_JOBLESS_CLAIMS,DOL,2020-01-02,"Week ending December 28, 2019",True,,False
bc7581fbdce3f05a,ISM_MANUFACTURING_PMI,ISM,2020-01-03,January 2020,True,,False
b72021c610d4df44,INITIAL_JOBLESS_CLAIMS,DOL,2020-01-09,"Week ending January 4, 2020",True,,False
e3d08e9a76c635ac,INITIAL_JOBLESS_CLAIMS,DOL,2020-01-16,"Week ending January 11, 2020",True,,False
4c039380e9029edb,INITIAL_JOBLESS_CLAIMS,DOL,2020-01-23,"Week ending January 18, 2020",True,,False
503c468918bb96a3,INITIAL_JOBLESS_CLAIMS,DOL,2020-01-30,"Week ending January 25, 2020",True,,False
99e35d9b01a9f0a5,ISM_MANUFACTURING_PMI,ISM,2020-02-03,February 2020,True,,False
09870cf19a2093ea,INITIAL_JOBLESS_CLAIMS,DOL,2020-02-06,"Week ending February 1, 2020",True,,False
aed698857ce17228,NFP,BLS,2020-02-07,January 2020,True,,False
740bf5fb3d44f3ce,UNEMPLOYMENT_RATE,BLS,2020-02-07,January 2020,True,,False
a5b4085181082e30,CORE_CPI,BLS,2020-02-13,January 2020,True,,False
97365faaf94b582d,CPI,BLS,2020-02-13,January 2020,True,,False
f7f0ebc63dc3516c,INITIAL_JOBLESS_CLAIMS,DOL,2020-02-13,"Week ending February 8, 2020",True,,False
72a9a6fe9c5bae19,INITIAL_JOBLESS_CLAIMS,DOL,2020-02-20,"Week ending February 15, 2020",True,,False
c9b14cee5bb49620,INITIAL_JOBLESS_CLAIMS,DOL,2020-02-27,"Week ending February 22, 2020",True,,False
582b5e2bdb085398,ISM_MANUFACTURING_PMI,ISM,2020-03-02,March 2020,True,,False
5538838fc285d1dc,INITIAL_JOBLESS_CLAIMS,DOL,2020-03-05,"Week ending February 29, 2020",True,,False
a0d1362f0c99306a,NFP,BLS,2020-03-06,February 2020,True,,False
8b930c3733851aa2,UNEMPLOYMENT_RATE,BLS,2020-03-06,February 2020,True,,False
3f5fad543dac59b8,CORE_CPI,BLS,2020-03-11,February 2020,True,,False
4c267b8d80702f8f,CPI,BLS,2020-03-11,February 2020,True,,False
31d7ed4a78067878,INITIAL_JOBLESS_CLAIMS,DOL,2020-03-12,"Week ending March 7, 2020",True,,False
a41718b6bab16e7f,INITIAL_JOBLESS_CLAIMS,DOL,2020-03-19,"Week ending March 14, 2020",True,,False
48773cb15e731320,INITIAL_JOBLESS_CLAIMS,DOL,2020-03-26,"Week ending March 21, 2020",True,,False
d30d50c4140bddfc,ISM_MANUFACTURING_PMI,ISM,2020-04-01,April 2020,True,,False
ea31b10b8f8dda8d,INITIAL_JOBLESS_CLAIMS,DOL,2020-04-02,"Week ending March 28, 2020",True,,False
86160ff65c0a7e12,NFP,BLS,2020-04-03,March 2020,True,,False
2f9f974a3254af05,UNEMPLOYMENT_RATE,BLS,2020-04-03,March 2020,True,,False
2d811a6a265b2ddd,INITIAL_JOBLESS_CLAIMS,DOL,2020-04-09,"Week ending April 4, 2020",True,,False
c97d6cdac8c18f81,CORE_CPI,BLS,2020-04-10,March 2020,True,,False
acb4e47a7d73524b,CPI,BLS,2020-04-10,March 2020,True,,False
da4b4447998b5677,INITIAL_JOBLESS_CLAIMS,DOL,2020-04-16,"Week ending April 11, 2020",True,,False
e4b50044314205fd,INITIAL_JOBLESS_CLAIMS,DOL,2020-04-23,"Week ending April 18, 2020",True,,False
3bdf01c5a70106b8,INITIAL_JOBLESS_CLAIMS,DOL,2020-04-30,"Week ending April 25, 2020",True,,False
728575d38e2019d4,ISM_MANUFACTURING_PMI,ISM,2020-05-01,May 2020,True,,False
a83b74cdffabbaa0,INITIAL_JOBLESS_CLAIMS,DOL,2020-05-07,"Week ending May 2, 2020",True,,False
119d1e4a52270bd1,NFP,BLS,2020-05-08,April 2020,True,,False
f651245a78aed03b,UNEMPLOYMENT_RATE,BLS,2020-05-08,April 2020,True,,False
51081443256fb177,CORE_CPI,BLS,2020-05-12,April 2020,True,,False
10af381ce6b75cc4,CPI,BLS,2020-05-12,April 2020,True,,False
44558393763863fb,INITIAL_JOBLESS_CLAIMS,DOL,2020-05-14,"Week ending May 9, 2020",True,,False
a0173425824c9a06,INITIAL_JOBLESS_CLAIMS,DOL,2020-05-21,"Week ending May 16, 2020",True,,False
0cef58b3af60443f,INITIAL_JOBLESS_CLAIMS,DOL,2020-05-28,"Week ending May 23, 2020",True,,False
fbbda33e85112b36,ISM_MANUFACTURING_PMI,ISM,2020-06-01,June 2020,True,,False
013c5c9f99d62e9f,INITIAL_JOBLESS_CLAIMS,DOL,2020-06-04,"Week ending May 30, 2020",True,,False
5a6329add993ffb6,NFP,BLS,2020-06-05,May 2020,True,,False
