exit_threshold,start_date,end_date,peak_date,peak_composite,mean_composite,duration_trading_sessions,time_to_peak_sessions,recovery_date,recovery_duration_sessions
0.0,2021-12-01,2023-01-10,2022-03-16,3.041778195552251,1.2996691918432934,284,72,2023-01-11,1
0.0,2024-08-05,2024-08-07,2024-08-05,1.3154042237786578,0.62442070337324,3,0,2024-08-08,1
0.0,2025-04-04,2025-05-13,2025-04-04,1.3225677801117475,0.690825779534726,27,0,2025-05-14,1
0.0,2026-03-18,2026-07-14,2026-04-07,1.7207761432932036,0.9255689763437683,85,14,2026-07-15,1
0.25,2021-12-01,2022-01-11,2021-12-03,1.529415565279777,0.8372761933968933,29,2,2022-01-12,1
0.25,2022-01-25,2022-11-30,2022-03-16,3.041778195552251,1.5056389344725485,220,35,2022-12-01,1
0.25,2024-08-05,2024-08-05,2024-08-05,1.3154042237786578,1.3154042237786578,1,0,2024-08-06,1
0.25,2025-04-04,2025-04-11,2025-04-04,1.3225677801117475,0.8505926702314067,6,0,2025-04-14,1
0.25,2025-04-16,2025-05-13,2025-04-16,1.204433345149923,0.7001274974829286,19,0,2025-05-14,1
0.25,2026-03-18,2026-07-14,2026-04-07,1.7207761432932036,0.9255689763437683,85,14,2026-07-15,1
0.5,2021-12-01,2021-12-28,2021-12-03,1.529415565279777,0.9586850060227738,19,2,2021-12-29,1
0.5,2022-01-25,2022-11-21,2022-03-16,3.041778195552251,1.5417592770212514,213,35,2022-11-22,1
0.5,2024-08-05,2024-08-05,2024-08-05,1.3154042237786578,1.3154042237786578,1,0,2024-08-06,1
0.5,2025-04-04,2025-04-08,2025-04-04,1.3225677801117475,1.2213892546761371,3,0,2025-04-09,1
0.5,2025-04-16,2025-05-09,2025-04-16,1.204433345149923,0.7372580631829132,17,0,2025-05-12,1
0.5,2026-03-18,2026-04-24,2026-04-07,1.7207761432932036,1.1926745978888402,28,14,2026-04-27,1
0.5,2026-06-03,2026-07-08,2026-06-05,1.621315145867279,1.0732914628678167,26,2,2026-07-09,1
