event_a,event_b,event_a_observations,event_b_observations,overlap_observations,union_observations,jaccard_overlap
breadth_negative_20d,breadth_negative_20d,58,58,58,58,1.0
breadth_negative_20d,breadth_positive_20d,58,62,0,120,0.0
breadth_negative_20d,vix_low,58,0,0,58,0.0
breadth_negative_20d,vix_elevated,58,0,0,58,0.0
breadth_negative_20d,financial_stress_elevated,58,0,0,58,0.0
breadth_negative_20d,sentiment_bearish,58,39,3,94,0.031914893617021274
breadth_negative_20d,sentiment_bullish,58,50,2,106,0.018867924528301886
breadth_negative_20d,technical_drawdown_ge_5,58,25,2,81,0.024691358024691357
breadth_negative_20d,technical_drawdown_ge_10,58,10,1,67,0.014925373134328358
breadth_negative_20d,liquidity_20d_change_positive_ge_5,58,9,0,67,0.0
breadth_negative_20d,liquidity_20d_change_negative_le_5,58,13,0,71,0.0
breadth_positive_20d,breadth_positive_20d,62,62,62,62,1.0
breadth_positive_20d,vix_low,62,0,0,62,0.0
breadth_positive_20d,vix_elevated,62,0,0,62,0.0
breadth_positive_20d,financial_stress_elevated,62,0,0,62,0.0
breadth_positive_20d,sentiment_bearish,62,39,1,100,0.01
breadth_positive_20d,sentiment_bullish,62,50,3,109,0.027522935779816515
breadth_positive_20d,technical_drawdown_ge_5,62,25,0,87,0.0
breadth_positive_20d,technical_drawdown_ge_10,62,10,0,72,0.0
breadth_positive_20d,liquidity_20d_change_positive_ge_5,62,9,2,69,0.028985507246376812
breadth_positive_20d,liquidity_20d_change_negative_le_5,62,13,0,75,0.0
vix_low,vix_low,0,0,0,0,
vix_low,vix_elevated,0,0,0,0,
vix_low,financial_stress_elevated,0,0,0,0,
vix_low,sentiment_bearish,0,39,0,39,0.0
vix_low,sentiment_bullish,0,50,0,50,0.0
vix_low,technical_drawdown_ge_5,0,25,0,25,0.0
vix_low,technical_drawdown_ge_10,0,10,0,10,0.0
vix_low,liquidity_20d_change_positive_ge_5,0,9,0,9,0.0
vix_low,liquidity_20d_change_negative_le_5,0,13,0,13,0.0
vix_elevated,vix_elevated,0,0,0,0,
vix_elevated,financial_stress_elevated,0,0,0,0,
vix_elevated,sentiment_bearish,0,39,0,39,0.0
vix_elevated,sentiment_bullish,0,50,0,50,0.0
vix_elevated,technical_drawdown_ge_5,0,25,0,25,0.0
vix_elevated,technical_drawdown_ge_10,0,10,0,10,0.0
vix_elevated,liquidity_20d_change_positive_ge_5,0,9,0,9,0.0
vix_elevated,liquidity_20d_change_negative_le_5,0,13,0,13,0.0
financial_stress_elevated,financial_stress_elevated,0,0,0,0,
financial_stress_elevated,sentiment_bearish,0,39,0,39,0.0
financial_stress_elevated,sentiment_bullish,0,50,0,50,0.0
financial_stress_elevated,technical_drawdown_ge_5,0,25,0,25,0.0
financial_stress_elevated,technical_drawdown_ge_10,0,10,0,10,0.0
financial_stress_elevated,liquidity_20d_change_positive_ge_5,0,9,0,9,0.0
financial_stress_elevated,liquidity_20d_change_negative_le_5,0,13,0,13,0.0
sentiment_bearish,sentiment_bearish,39,39,39,39,1.0
sentiment_bearish,sentiment_bullish,39,50,0,89,0.0
sentiment_bearish,technical_drawdown_ge_5,39,25,2,62,0.03225806451612903
sentiment_bearish,technical_drawdown_ge_10,39,10,0,49,0.0
sentiment_bearish,liquidity_20d_change_positive_ge_5,39,9,0,48,0.0
sentiment_bearish,liquidity_20d_change_negative_le_5,39,13,1,51,0.0196078431372549
sentiment_bullish,sentiment_bullish,50,50,50,50,1.0
sentiment_bullish,technical_drawdown_ge_5,50,25,0,75,0.0
sentiment_bullish,technical_drawdown_ge_10,50,10,1,59,0.01694915254237288
sentiment_bullish,liquidity_20d_change_positive_ge_5,50,9,0,59,0.0
sentiment_bullish,liquidity_20d_change_negative_le_5,50,13,1,62,0.016129032258064516
technical_drawdown_ge_5,technical_drawdown_ge_5,25,25,25,25,1.0
technical_drawdown_ge_5,technical_drawdown_ge_10,25,10,0,35,0.0
technical_drawdown_ge_5,liquidity_20d_change_positive_ge_5,25,9,0,34,0.0
technical_drawdown_ge_5,liquidity_20d_change_negative_le_5,25,13,0,38,0.0
technical_drawdown_ge_10,technical_drawdown_ge_10,10,10,10,10,1.0
technical_drawdown_ge_10,liquidity_20d_change_positive_ge_5,10,9,0,19,0.0
technical_drawdown_ge_10,liquidity_20d_change_negative_le_5,10,13,0,23,0.0
liquidity_20d_change_positive_ge_5,liquidity_20d_change_positive_ge_5,9,9,9,9,1.0
liquidity_20d_change_positive_ge_5,liquidity_20d_change_negative_le_5,9,13,0,22,0.0
liquidity_20d_change_negative_le_5,liquidity_20d_change_negative_le_5,13,13,13,13,1.0
