feature_a,layer_a,feature_b,layer_b,observations,pearson_correlation,absolute_correlation
sentiment_unified_sentiment_score,sentiment,technical_drawdown_pct,technical,1916,0.3231367065791178,0.3231367065791178
sentiment_unified_sentiment_score,sentiment,technical_RSI14,technical,1903,0.5241496382635477,0.5241496382635477
sentiment_unified_sentiment_score,sentiment,technical_ATR14_pct,technical,1904,-0.6033156381554624,0.6033156381554624
sentiment_unified_sentiment_score,sentiment,technical_ROC20_pct,technical,1897,0.44543614352475586,0.44543614352475586
sentiment_unified_sentiment_score,sentiment,liq_NET_LIQUIDITY_PROXY_MILLIONS,liquidity,1916,-0.10328291477098328,0.10328291477098328
sentiment_unified_sentiment_score,sentiment,liquidity_20d_change_pct,liquidity,1896,-0.053930287024316494,0.053930287024316494
technical_drawdown_pct,technical,technical_RSI14,technical,1903,0.5109580821183399,0.5109580821183399
technical_drawdown_pct,technical,technical_ATR14_pct,technical,1904,-0.7314145988094485,0.7314145988094485
technical_drawdown_pct,technical,technical_ROC20_pct,technical,1897,0.43260494475723077,0.43260494475723077
technical_drawdown_pct,technical,liq_NET_LIQUIDITY_PROXY_MILLIONS,liquidity,1916,-0.11515666436582865,0.11515666436582865
technical_drawdown_pct,technical,liquidity_20d_change_pct,liquidity,1896,-0.17978960254274315,0.17978960254274315
technical_RSI14,technical,technical_ATR14_pct,technical,1903,-0.4519325713181882,0.4519325713181882
technical_RSI14,technical,technical_ROC20_pct,technical,1897,0.7286407471651688,0.7286407471651688
technical_RSI14,technical,liq_NET_LIQUIDITY_PROXY_MILLIONS,liquidity,1903,0.017695959304910986,0.017695959304910986
technical_RSI14,technical,liquidity_20d_change_pct,liquidity,1896,0.035676834522197685,0.035676834522197685
technical_ATR14_pct,technical,technical_ROC20_pct,technical,1897,-0.4481710017630701,0.4481710017630701
technical_ATR14_pct,technical,liq_NET_LIQUIDITY_PROXY_MILLIONS,liquidity,1904,0.008577284862559726,0.008577284862559726
technical_ATR14_pct,technical,liquidity_20d_change_pct,liquidity,1896,0.4313511197751089,0.4313511197751089
technical_ROC20_pct,technical,liq_NET_LIQUIDITY_PROXY_MILLIONS,liquidity,1897,0.041296852485703674,0.041296852485703674
technical_ROC20_pct,technical,liquidity_20d_change_pct,liquidity,1896,0.07141300158865914,0.07141300158865914
liq_NET_LIQUIDITY_PROXY_MILLIONS,liquidity,liquidity_20d_change_pct,liquidity,1896,-0.016089416397432103,0.016089416397432103
