event_name,source_layer,event_layer,definition_column,operator,threshold,horizon,event_observations,all_observations,non_event_observations,event_mean_return_pct,event_median_return_pct,event_positive_share_pct,all_mean_return_pct,non_event_mean_return_pct,event_minus_all_pp,event_minus_non_event_pp
breadth_negative_20d,Market Breadth Analyzer v1,breadth,breadth_research_state,eq,NEGATIVE_BREADTH,1D,58,1916,1858,-0.0051385888693331145,0.2603075397702881,58.620689655172406,0.0674342662570901,0.06969972675081054,-0.07257285512642322,-0.07483831562014366
breadth_negative_20d,Market Breadth Analyzer v1,breadth,breadth_research_state,eq,NEGATIVE_BREADTH,5D,58,1916,1858,0.0796289362138683,0.4654040818095284,58.620689655172406,0.320000473351726,0.3275039981924126,-0.2403715371378577,-0.24787506197854436
breadth_negative_20d,Market Breadth Analyzer v1,breadth,breadth_research_state,eq,NEGATIVE_BREADTH,20D,58,1916,1858,0.7885046666643648,1.7288956415391965,67.24137931034483,1.2490521210799301,1.263428736987413,-0.46054745441556527,-0.4749240703230483
breadth_positive_20d,Market Breadth Analyzer v1,breadth,breadth_research_state,eq,POSITIVE_BREADTH,1D,62,1916,1854,0.05280944361485765,0.3302424219751243,56.451612903225815,0.0674342662570901,0.06792333799593499,-0.014624822642232466,-0.015113894381077344
breadth_positive_20d,Market Breadth Analyzer v1,breadth,breadth_research_state,eq,POSITIVE_BREADTH,5D,62,1916,1854,0.7783975523556084,1.3883588258214785,69.35483870967742,0.320000473351726,0.3046711211951776,0.4583970790038824,0.4737264311604308
breadth_positive_20d,Market Breadth Analyzer v1,breadth,breadth_research_state,eq,POSITIVE_BREADTH,20D,62,1916,1854,1.817560235430408,2.7381817167612788,72.58064516129032,1.2490521210799301,1.230040522865405,0.5685081143504778,0.5875197125650027
vix_low,Research Context v1,stress,macro_vix,lt,15.0,1D,0,1916,1916,,,,0.0674342662570901,0.0674342662570901,,
vix_low,Research Context v1,stress,macro_vix,lt,15.0,5D,0,1916,1916,,,,0.320000473351726,0.320000473351726,,
vix_low,Research Context v1,stress,macro_vix,lt,15.0,20D,0,1916,1916,,,,1.2490521210799301,1.2490521210799301,,
vix_elevated,Research Context v1,stress,macro_vix,ge,25.0,1D,0,1916,1916,,,,0.0674342662570901,0.0674342662570901,,
vix_elevated,Research Context v1,stress,macro_vix,ge,25.0,5D,0,1916,1916,,,,0.320000473351726,0.320000473351726,,
vix_elevated,Research Context v1,stress,macro_vix,ge,25.0,20D,0,1916,1916,,,,1.2490521210799301,1.2490521210799301,,
financial_stress_elevated,Research Context v1,stress,macro_financial_stress_composite,gt,0.0,1D,0,1916,1916,,,,0.0674342662570901,0.0674342662570901,,
financial_stress_elevated,Research Context v1,stress,macro_financial_stress_composite,gt,0.0,5D,0,1916,1916,,,,0.320000473351726,0.320000473351726,,
financial_stress_elevated,Research Context v1,stress,macro_financial_stress_composite,gt,0.0,20D,0,1916,1916,,,,1.2490521210799301,1.2490521210799301,,
sentiment_bearish,Sentiment Engine v1,sentiment,sentiment_unified_sentiment_score,lt,40.0,1D,39,1916,1877,0.2754689311523194,0.1375725554363605,61.53846153846154,0.0674342662570901,0.06311175590497826,0.20803466489522932,0.21235717524734116
sentiment_bearish,Sentiment Engine v1,sentiment,sentiment_unified_sentiment_score,lt,40.0,5D,39,1916,1877,0.6419014000212306,0.9689526002210069,61.53846153846154,0.320000473351726,0.31331206837564146,0.3219009266695047,0.32858933164558923
sentiment_bearish,Sentiment Engine v1,sentiment,sentiment_unified_sentiment_score,lt,40.0,20D,39,1916,1877,1.2241322216514483,2.7757643318259806,74.35897435897436,1.2490521210799301,1.2495699026876612,-0.024919899428481676,-0.025437681036212696
sentiment_bullish,Sentiment Engine v1,sentiment,sentiment_unified_sentiment_score,gt,60.0,1D,50,1916,1866,-0.040681469716257856,0.03630389721321903,56.00000000000001,0.0674342662570901,0.07033125811060961,-0.10811573597334796,-0.11101272782686748
sentiment_bullish,Sentiment Engine v1,sentiment,sentiment_unified_sentiment_score,gt,60.0,5D,50,1916,1866,0.2552800598658642,0.30991527641015537,56.00000000000001,0.320000473351726,0.32173467521361937,-0.06472041348586174,-0.06645461534775517
sentiment_bullish,Sentiment Engine v1,sentiment,sentiment_unified_sentiment_score,gt,60.0,20D,50,1916,1866,-0.01230559060949177,0.8175914105961413,62.0,1.2490521210799301,1.2828505592280928,-1.261357711689422,-1.2951561498375845
technical_drawdown_ge_5,Technical Intelligence v1,technical,technical_drawdown_pct,le,-5.0,1D,25,1916,1891,-0.6944502409261437,-0.37017126347429485,40.0,0.0674342662570901,0.07750677428436714,-0.7618845071832339,-0.7719570152105109
technical_drawdown_ge_5,Technical Intelligence v1,technical,technical_drawdown_pct,le,-5.0,5D,25,1916,1891,0.3315743652124832,0.7872272088387922,60.0,0.320000473351726,0.3198474605032231,0.011573891860757217,0.01172690470926008
technical_drawdown_ge_5,Technical Intelligence v1,technical,technical_drawdown_pct,le,-5.0,20D,25,1916,1891,1.2314740186219417,3.064926049912109,72.0,1.2490521210799301,1.2492845127041765,-0.017578102457988312,-0.017810494082234722
technical_drawdown_ge_10,Technical Intelligence v1,technical,technical_drawdown_pct,le,-10.0,1D,10,1916,1906,0.7966266578517867,0.7364173880195612,70.0,0.0674342662570901,0.06360849295386506,0.7291923915946965,0.7330181648979217
technical_drawdown_ge_10,Technical Intelligence v1,technical,technical_drawdown_pct,le,-10.0,5D,10,1916,1906,1.0887073016164672,1.234914248293606,70.0,0.320000473351726,0.31596738401140734,0.7687068282647412,0.7727399176050599
technical_drawdown_ge_10,Technical Intelligence v1,technical,technical_drawdown_pct,le,-10.0,20D,10,1916,1906,1.1439252686040047,4.56369109587299,60.0,1.2490521210799301,1.2496036785430775,-0.10512685247592544,-0.10567840993907299
liquidity_20d_change_positive_ge_5,Liquidity Intelligence v1,liquidity,liquidity_20d_change_pct,ge,5.0,1D,9,1916,1907,-0.8135596203049353,-0.8080851690870694,33.33333333333333,0.0674342662570901,0.07159207694353911,-0.8809938865620254,-0.8851516972484744
liquidity_20d_change_positive_ge_5,Liquidity Intelligence v1,liquidity,liquidity_20d_change_pct,ge,5.0,5D,9,1916,1907,1.6881130374059583,0.5941105092739818,55.55555555555556,0.320000473351726,0.3135437281621675,1.3681125640542322,1.3745693092437907
liquidity_20d_change_positive_ge_5,Liquidity Intelligence v1,liquidity,liquidity_20d_change_pct,ge,5.0,20D,9,1916,1907,4.9890510404245205,2.939907135780384,77.77777777777779,1.2490521210799301,1.2314013658234533,3.7399989193445906,3.7576496746010672
liquidity_20d_change_negative_le_5,Liquidity Intelligence v1,liquidity,liquidity_20d_change_pct,le,-5.0,1D,13,1916,1903,-0.38816703293880717,-0.22238866412221947,46.15384615384615,0.0674342662570901,0.07054662405506523,-0.4556012991958973,-0.4587136569938724
