metric,value
total_asof_rows,14305
first_asof_date,1987-07-25
last_asof_date,2026-09-22
minimum_components,2
latest_unified_sentiment_score,35.57183557183557
latest_research_regime,BEARISH
latest_component_count,3
point_in_time_safe,True
research_only,True
decision_engine_ready,False
sentiment_score_generated,True
trading_signal_generated,False
forecast_generated,False
regime_EXTREME_BULLISH_rows,1709
regime_BULLISH_rows,3664
regime_NEUTRAL_rows,3835
regime_BEARISH_rows,2841
regime_EXTREME_BEARISH_rows,1185
regime_INSUFFICIENT_DATA_rows,1071
